near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,15.7,2459000.5,0.1496654492750004,2.625333476531689,2.232411762269875,13.42439216411314,101.494382005914,164.0706020181544,338.9822784461539,3.018255190793503,0.2317007071432096,2459091.210649152,1553.728533842977,4.2538768893716,474.4449304,5.525e-06,3.3091e-05,MBA,0.56151
N,N,17.8,2459000.5,0.1335072074627511,2.682726232377234,2.324562944705482,4.38170569139441,37.10803087189164,319.1342900978777,334.6029601067651,3.040889520048986,0.2243053023631382,2459113.7253211387,1604.955372018712,4.39412832859333,514.716242,0.00010117,0.012944,MBA,0.64538
N,N,17.6,2459000.5,0.1380912911602724,2.735474882990196,2.357729624461585,9.05799712934244,210.5835803711473,162.2300218932872,0.8433734551361294,3.113220141518807,0.2178487020353224,2458996.628627588,1652.523042995358,4.52436151401878,529.4930269,1.1168e-05,9.0336e-05,MBA,0.66899
N,N,16.926,2459000.5,0.1359824705996094,3.163414878095938,2.73324590744089,12.69070685676061,101.4929950666962,278.3697583960269,70.92451957787942,3.593583848750985,0.1751740797265236,2458595.619782056,2055.098565735416,5.62655322583276,690.0840274,1.0503e-05,8.7947e-05,MBA,0.59201
N,N,17.4,2459000.5,0.08887688054289168,2.712337125575269,2.471273062873466,1.507108482269228,349.0079042990773,25.81587217859061,201.2290008074921,2.953401188277073,0.2206421959431809,2459720.0858367607,1631.600875168529,4.46707974036558,572.8738068,1.6172e-05,0.00028194,MBA,0.62816
N,N,18.1,2459000.5,0.2037151613986082,2.298083354863959,1.829928933320393,5.224820242795192,31.7541513868457,245.7204953183347,102.7360539597408,2.766237776407526,0.2829146313300849,2458637.365532628,1272.468653556406,3.48382930474033,319.62765602,8.2328e-06,8.2881e-05,MBA,0.49096
N,N,15.9,2459000.5,0.1094970679607104,2.609987254301412,2.324201302540583,12.9529804389831,268.3299314158998,359.1313959731451,27.24938291758142,2.895773206062242,0.233747241381288,2458883.9237240334,1540.125127777525,4.21663279336762,509.112194,5.4233e-06,5.684e-05,MBA,0.55407
N,N,17.0,2459000.5,0.09350099100489456,2.780851771831178,2.520839375327246,3.317120356079825,356.6387392949177,71.35698292455228,156.3974163760372,3.04086416833511,0.21253835434502,2458264.644973466,1693.811929189971,4.63740432358651,598.2204489,9.1228e-06,0.00011489,MBA,0.60216
N,N,13.6,2459000.5,0.1135381708645253,2.983428707974633,2.644695669566479,8.684526057863067,286.3491999541772,62.67059393015438,215.4808490688013,3.322161746382787,0.1912628299189153,2459756.105001727,1882.226672859645,5.15325577784982,642.6909048,3.9047e-06,3.6457e-05,MBA,0.51959
N,N,11.4,2459000.5,0.03142960703581744,5.065030080973889,4.905838175904285,4.176272632516224,95.25173722200064,260.365686352527,248.2452320026614,5.224221986043493,0.08646314539815565,2460293.013330191,4163.623684313469,11.3993803814195,1519.280763,4.5504e-06,0.00011117,TJN,0.51498
